username,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,pagerank,load_centrality,hits_hub,hits_auth,clustering,triangles,eigenvector_centrality,square_clustering,community
meechie1010101,0.12937062937062938,0.04895104895104895,0.08041958041958042,0.26732275557340834,0.002191853249357278,0.0032476922363971475,0.002017371440535638,2.57973481088731e-05,1.9004880435471097e-05,0.36231884057971014,100,0.00024981877127290065,0.17738899346694717,1
keredelman,0.08741258741258741,0.04195804195804196,0.045454545454545456,0.2726620915702141,0.0065915513209875995,0.003730940291986139,0.006806414904345789,8.354374833927321e-06,8.122820482843153e-06,0.47435897435897434,37,0.00011996474541619656,0.21445553970518308,1
hannahhorsington,0.06643356643356643,0.03496503496503497,0.03146853146853147,0.263877874702617,0.00016100045068575275,0.0027452610485120387,0.0001666306090771284,1.9064579978154867e-05,2.260417917696809e-05,0.4727272727272727,26,0.0003035829634121154,0.19594594594594594,1
fullnessofjoyco,0.045454545454545456,0.013986013986013986,0.03146853146853147,0.20154451847365232,1.308632887580256e-05,0.0025776187411170235,1.3086328875802557e-05,5.864867651412334e-06,2.589504442361902e-06,0.7777777777777778,28,3.8432539359815905e-05,0.5195530726256983,6
annrodan,0.0979020979020979,0.04895104895104895,0.04895104895104895,0.26978818283166106,0.0032396817689758963,0.0038297389711756356,0.003181982935999226,2.1431056522200012e-05,2.2887487984822133e-05,0.3956043956043956,36,0.000294384540878665,0.16819662422268286,1
jordanndennis,0.23076923076923078,0.11188811188811189,0.11888111888111888,0.2954822954822955,0.0003926948528785794,0.0032634491171493678,0.00046162261826584197,0.00893667060306027,0.008326136359267131,0.7041251778093883,495,0.08726519122620176,0.4370403387564074,5
makayla.scarpitti,0.3076923076923077,0.13636363636363635,0.17132867132867133,0.32868255340165453,0.004045865629781308,0.0037598522768639664,0.004443881480833657,0.012639966046718302,0.0098864479402213,0.5961038961038961,918,0.09850703976877445,0.3855873184320488,5
invader_jake,0.0944055944055944,0.038461538461538464,0.055944055944055944,0.3204526303117853,0.0014253182535490176,0.001775066742535511,0.0015996671144685184,0.004091301620818979,0.0028273547413101415,0.5555555555555556,95,0.028215570404217207,0.3652814534010443,4
alex__pirkle,0.06293706293706294,0.027972027972027972,0.03496503496503497,0.20916162489196197,3.266339064307806e-05,0.002626923510704559,2.4381372068772394e-05,1.052715032172419e-06,6.099495132976241e-07,0.8444444444444444,38,1.2193539945392017e-05,0.45264847512038525,1
sithmyirz,0.07692307692307693,0.03496503496503497,0.04195804195804196,0.26455972967600877,0.00048189336869568526,0.0039699913350410496,0.0004904826767174946,0.00018526567590504626,5.738502593749437e-05,0.7878787878787878,52,0.0006588474482312872,0.31277258566978194,6
